Company,Role,Clean Location,Minimum Experience,Maximum Experience,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8
topgear consultants pvt ltd.,sr data scientist,['pune'],5,10,data science,machine learning,statistics,python,,,,
prevalent ai india private limited,data scientist,['kochi'],5,9,prototype,data analysis,machine learning,engineering manager,workflow,data mining,big data,data analysis
jubna,data scientist - hadoop/bigquery,['noida'],3,6,it skills,python,data science,machine learning,project management,big data,tableau,business intelligence
third eye consulting services & solutions,data scientist,['kolkata'],4,5,it skills,java,python,data science,artificial intelligence,cloud,work from home,computer science
proseon technologies pvt. ltd.,junior data scientist,['vadodara'],0,1,deep learning,tensorflow,numpy,pytorch,algorithm,python,machine learning,scikit learn
valorem pvt ltd,data scientist iii,['kochi'],9,14,machine learning,spark,python,data science,pyspark,r,hive,artificial intelligence
veerwal getwork services private limited,urgent hiring | data scientist | 3 months | bengaluru,"['mysore', 'bangalore']",0,1,microsoft excel,kafka,python,machine learning,algorithms,object - oriented,deep learning,
jumio,data scientist,['jaipur'],4,6,computer science,c++,data analysis,coding,mysql,ssrs,javascript,business intelligence
prompt softech,data scientist,['ahmedabad'],1,5,rdbms,data analysis,python,communication skills,machine learning,machine learning,machine learning,tableau
accenture solutions pvt ltd,data scientist,"['mumbai', 'gurgaon', 'bangalore']",2,5,nlp,natural language processing,natural processing language,,,,,
kanini software solutions india private limited,lead data scientist,"['chennai', 'coimbatore']",9,14,oracle vcp,umap,tsne,pyspark,logility,machine learning,anaplan,jda esp
kanini software solutions india private limited,lead data scientist,"['chennai', 'coimbatore']",7,11,lstm,artificial intelligence,python,umap,tsne,pyspark,logility,machine learning
algoscale technologies private limited,data scientist,['noida'],2,7,statistics,nlp,postgre,nosql,google cloud,deep learning,sql,data analysis
transcendence human resources private limited,data scientist,"['chennai', 'bangalore', 'hyderabad']",3,6,written,data analysis,aws,python,communication skills,it skills,data science,cloud
futures and careers,data scientist - python & machine learning,"['mumbai', 'bangalore', 'pune', 'chennai', 'delhi', 'hyderabad']",2,7,pandas,numpy,python,machine learning,it skills,panda,,
bigshyft hiring for algo8.ai,senior data scientist,['noida'],4,8,data science,c,python,,,,,
careernet technologies pvt ltd,deep learning data scientist (5-9 yrs),['bangalore'],5,9,computer vision,machine learning,deep learning,pytorch,r,algorithms,sas,keras
walmart global tech india,senior data scientist,['pan india'],0,5,na,,,,,,,
ibm india pvt. limited,data scientist: advanced analytics,['chennai'],6,8,it skills,python,machine learning,r,algorithms,hadoop,data analysis,statistical modeling
ps international infoservices pvt ltd,data scientist,['mumbai'],3,6,deep learning,data analysis,simulation,data science,formulation,machine learning,data analysis,data analysis
acmeture global consulting services,data scientist requirement with our mnc client for pune,['pune'],4,8,data science,r,artificial intelligence,natural language processing,data analysis,machine learning,deep learning,python
draup,data scientist,['coimbatore'],6,11,deep learning,pdf,data science,spark,deployment,pattern recognition,aws,data analysis
happyhat solution pvt. ltd,data scientist,"['chennai', 'bangalore', 'hyderabad']",3,8,data science,r,natural language processing,hadoop,text mining,spark,statistical data analysis,tableau
emojent inc,data scientist,['pune'],3,8,machine learning,data science,computer vision,object detection,artificial intelligence,text analytics,natural language processing,neural networks
placeminds consulting pvt. ltd,machine learning data scientist - a reputed organization in mumbai,['mumbai'],4,9,machine learning,r,time series analysis,data analysis,hypothesis testing,data science,data mining,machine learning
course5 intelligence private limited,hiring data scientist with 3+ years of relevant experience,['bangalore'],4,7,microsoft excel,sql,python,data science,machine learning,neural networks,knime,machine learning
avi consulting llp,sr. data scientist (tl/pm)\,"['remote', 'bangalore']",5,9,data science,r,forecasting,time series,etl,machine learning,python,
careerlink consultants,process data scientist (for manufacturing mnc ),['pune'],5,10,rpa,business analysis,data interpretation,html5,data acquisition,robotic process automation,sql,data science
